Name,Medium,Website,Facebook,Twitter_Name,Twitter_ID,Geography
Arab Tribune,Newspapers,http://www.thearabtribune.com/,https://www.facebook.com/pages/The-Arab-Tribune/178865138834401,ArabTribune,795254196,AL
Athens News Courier,Newspapers,http://www.enewscourier.com/,https://www.facebook.com/pages/The-News-Courier/112539230743,newscourier,28156328,AL
Atmore Advance,Newspapers,http://www.atmoreadvance.com,https://www.facebook.com/pages/Atmore-Advance/83649498468,atmoreadvance,43127893,AL
Atmore News,Newspapers,http://www.atmorenews.com/,https://www.facebook.com/newsatmore,,,AL
Auburn Plainsman,Newspapers,http://theplainsman.com/,https://www.facebook.com/theplainsman,TheAUPlainsman,372467453,AL
Auburn Plainsman,Newspapers,http://theplainsman.com/,https://www.facebook.com/theplainsman,TheAUPlainsman,372467453,AL
Baldwin Times,Newspapers,http://www.gulfcoastnewstoday.com/the_baldwin_times/,https://www.facebook.com/GulfCoastMedia/,,,AL
Alabama Messenger,Newspapers,http://www.alabamamessenger.com/,https://www.facebook.com/pages/The-Alabama-Messenger/471601942875195,,,AL
Birmingham News,Newspapers,http://www.al.com/birmingham/,https://www.facebook.com/birminghamnews,ALcomBirmingham,9893842,AL
Birmingham Times,Newspapers,http://www.birminghamtimes.com/,https://www.facebook.com/birmingham.times,BirminghamTimes,9287835,AL
Business Journal,Newspapers,http://www.bizjournals.com/birmingham/,https://www.facebook.com/birminghambusinessjournal,bhambizjrnl,21246341,AL
Over the Mountain Journal,Newspapers,http://www.otmj.com/,https://www.facebook.com/pages/Over-the-Mountain-Journal/131637710184301,,,AL
Brewton Standard,Newspapers,http://www.brewtonstandard.com/,https://www.facebook.com/pages/The-Brewton-Standard/73324917142,brewtonstandard,26827311,AL
Corridor Messenger,Newspapers,http://corridormessenger.com/,https://www.facebook.com/corridor.messenger,,,AL
Pickens County Herald,Newspapers,http://pcherald.com/,https://www.facebook.com/PickensCountyHerald,PickensCoHerald,3236479136,AL
Cherokee County Herald,Newspapers,http://www.northwestgeorgianews.com/cherokee_county/,https://www.facebook.com/CherokeeCountyHerald,,,AL
Post Online,Newspapers,http://www.epostpaper.com/,,postpaper,228281,AL
Washington County News,Newspapers,http://www.chipleypaper.com/,https://www.facebook.com/pages/Washington-County-NewsHolmes-County-Advertiser/109405362449641,wcn_hct,2262255,AL
Washington County News,Newspapers,http://www.chipleypaper.com/,https://www.facebook.com/pages/Washington-County-NewsHolmes-County-Advertiser/109405362449641,wcn_hct,2262255,AL
Call News,Newspapers,http://www.thecallnews.com/,https://www.facebook.com/pages/The-Call-News/74580658175,,,AL
Clanton Advertiser,Newspapers,http://www.clantonadvertiser.com/,https://www.facebook.com/clantonadvertiser,clantonadv,19343772,AL
Clayton Record,Newspapers,http://www.theclaytonrecordonline.com/,,,,AL
Shelby County Reporter,Newspapers,http://www.shelbycountyreporter.com,https://www.facebook.com/shelbycountyreporter,shelbycreporter,19344457,AL
Cullman Times,Newspapers,http://www.cullmantimes.com/,https://www.facebook.com/pages/The-Cullman-Times/136821583036613,TheCullmanTimes,2568,AL
Cullman Times,Newspapers,http://www.cullmantimes.com/,https://www.facebook.com/pages/The-Cullman-Times/136821583036613,TheCullmanTimes,2568,AL
Cullman Times,Newspapers,http://www.cullmantimes.com/,https://www.facebook.com/pages/The-Cullman-Times/136821583036613,TheCullmanTimes,2568,AL
CullmanSense,Newspapers,http://www.cullmansense.com/,https://www.facebook.com/CullmanSense,cullmansense,nan,AL
Dadeville Record,Newspapers,http://www.alexcityoutlook.com/category/dadeville/,https://www.facebook.com/pages/Dadeville-Record/47940556546,,,AL
Daleville Sun-Courier,Newspapers,http://www.southeastsun.com/daleville/,,,,AL
Decatur Daily,Newspapers,http://www.decaturdaily.com,https://www.facebook.com/decaturdaily,decaturdaily,17455392,AL
Demopolis Times,Newspapers,http://www.demopolistimes.com,https://www.facebook.com/pages/The-Demopolis-Times/48146854758,demopolistimes,19347884,AL
Dothan Eagle,Newspapers,http://www.dothaneagle.com/,https://www.facebook.com/dothaneagle,dothaneagle,163196,AL
Dothan Eagle,Newspapers,http://www.dothaneagle.com/,https://www.facebook.com/dothaneagle,dothaneagle,163196,AL
Dothan Progress,Newspapers,http://www.dothaneagle.com/news/dothan_progress/,https://www.facebook.com/dothaneagle,dothaneagle,163196,AL
Dothan Progress,Newspapers,http://www.dothaneagle.com/news/dothan_progress/,https://www.facebook.com/dothaneagle,dothaneagle,163196,AL
Elba Clipper,Newspapers,http://www.elba-clipper.com/,,,,AL
Enterprise Ledger,Newspapers,http://www.dothaneagle.com/enterprise_ledger/,https://www.facebook.com/pages/Enterprise-Ledger/80064758818,ledgernews,27217872,AL
Southeast Sun ,Newspapers,http://www.southeastsun.com,https://www.facebook.com/pages/The-Southeast-Sun/41320314986,southeastsun,272881,AL
Eufaula Tribune,Newspapers,http://www.dothaneagle.com/eufaula_tribune/,https://www.facebook.com/pages/Eufaula-Tribune/102586439777206,eufaulatribnews,272182,AL
Times-Record,Newspapers,http://www.mytrpaper.com/,,,,AL
Courier Journal,Newspapers,http://www.courierjournal.net/,https://www.facebook.com/florencecourierjournal,,,AL
Times Daily,Newspapers,http://www.timesdaily.com,https://www.facebook.com/timesdaily,TimesDaily,747858,AL
Lowndes Signal,Newspapers,http://www.lowndessignal.com/,https://www.facebook.com/LowndesSignal,lowndes_signal,168725662,AL
Times-Journal,Newspapers,http://times-journal.com/,https://www.facebook.com/timesjournal,fptimesjournal,143282576,AL
Gadsden Messenger,Newspapers,http://gadsdenmessenger.com/,https://www.facebook.com/TheMessengerGadsden,gad_messenger,29284137,AL
Gadsden Times,Newspapers,http://www.gadsdentimes.com,https://www.facebook.com/GadsdenTimes,gadsdentimes,15751559,AL
North Jefferson News,Newspapers,http://www.njeffersonnews.com/,https://www.facebook.com/NorthJeffersonNews,NorthJeffNews,229531,AL
Geneva County Reaper,Newspapers,http://www.oppnewsonline.com/23136/1964/geneva-county-reaperpdf,https://www.facebook.com/pages/Geneva-County-Reaper/133754646654708,,,AL
Hartford News-Herald,Newspapers,http://www.oppnewsonline.com/20680/1964/hartford-newsheraldpdf,,,,AL
Choctaw Sun,Newspapers,http://www.choctawsun.org/,https://www.facebook.com/choctawsun,,,AL
Greenville Advocate,Newspapers,http://www.greenvilleadvocate.com/,https://www.facebook.com/GreenvilleAdvocate,GvilleAdvocate,193457,AL
Clarke County Democrat,Newspapers,http://www.clarkecountydemocrat.com/,https://www.facebook.com/pages/Clarke-County-Democrat/282374158462974,CCDemocrat,41379,AL
Gulf Shores Islander,Newspapers,http://www.gulfcoastnewstoday.com/the_islander/,https://www.facebook.com/GulfCoastMedia/,,,AL
Advertiser-Gleam,Newspapers,http://www.advertisergleam.com/,https://www.facebook.com/advertisergleam,,,AL
Northwest Alabamian,Newspapers,http://www.mynwapaper.com/,,,,AL
Hartselle Enquirer,Newspapers,http://www.hartselleenquirer.com,https://www.facebook.com/pages/Hartselle-Enquirer/55079151637,hartselleenq,998146,AL
Cleburne News,Newspapers,http://www.annistonstar.com/cleburne_news/,https://www.facebook.com/pages/Cleburne-News/174078529314804,,,AL
Huntsville Times,Newspapers,http://www.al.com/huntsville/,https://www.facebook.com/huntsvilletimes,ALcomHuntsville,1826,AL
Speakin' Out News,Newspapers,http://www.speakinoutweeklynews.com/,https://www.facebook.com/speakinoutnews,,,AL
Valley Planet,Newspapers,http://www.valleyplanet.com,https://www.facebook.com/pages/Valley-Planet/29498957774,valleyplanet,29212669,AL
South Alabamian,Newspapers,http://www.southalabamian.com/,,,,AL
Jacksonville News,Newspapers,http://www.annistonstar.com/jacksonville_news/,https://www.facebook.com/annistonstar,annistonstar,149212,AL
Jacksonville News,Newspapers,http://www.annistonstar.com/jacksonville_news/,https://www.facebook.com/annistonstar,annistonstar,149212,AL
Daily Mountain Eagle,Newspapers,http://www.mountaineagle.com/,https://www.facebook.com/mountaineagle,DailyMtnEagle,25153685,AL
LaFayette Sun,Newspapers,http://www.thelafayettesun.com/,https://www.facebook.com/pages/The-LaFayette-Sun-Newspaper/116010268416021,lsunnews,2715888,AL
Valley Times-News,Newspapers,http://www.valleytimes-news.com,,,,AL
Sumter Co. Record-Journal,Newspapers,http://www.recordjournal.net,https://www.facebook.com/recordjournalnewspaper,,,AL
Luverne Journal,Newspapers,http://www.greenvilleadvocate.com/category/luverne/,https://www.facebook.com/LuverneJournal,Luverne_Journal,244625,AL
Madison Record,Newspapers,http://www.madisoncountyrecord.com/,https://www.facebook.com/pages/The-Madison-Record/111490242234428,madisonrecord,9866,AL
Lagniappe,Newspapers,http://www.lagniappemobile.com/,https://www.facebook.com/lagniappemobile,LagniappeMobile,445158,AL
Press-Register,Newspapers,http://www.al.com/mobile/,https://www.facebook.com/PressRegisterConnect,alcommobile,3695,AL
Monroe Journal,Newspapers,http://www.monroejournal.com/,https://www.facebook.com/pages/Monroe-JournalMonroe360com/69530007402,monroe360,23785422,AL
Monroe Journal,Newspapers,http://www.monroejournal.com/,https://www.facebook.com/pages/Monroe-JournalMonroe360com/69530007402,monroe360,23785422,AL
Montgomery Advertiser,Newspapers,http://www.montgomeryadvertiser.com/,https://www.facebook.com/montgomeryadvertiser,mgmadvertiser,4729,AL
Moulton Advertiser,Newspapers,http://www.moultonadvertiser.com/,https://www.facebook.com/moultonadvertiser,MoultonAdv,135638918,AL
Blount Countian,Newspapers,http://www.blountcountian.com/,https://www.facebook.com/pages/The-Blount-Countian/131695643542580,,,AL
Opelika-Auburn News,Newspapers,http://www.oanow.com/,https://www.facebook.com/oanow,oanow,16744446,AL
