Twitter_ID,Twitter_Name
87767356,EasyReaderNews
20172139,HesperiaStar
1490865258,HighlandNews1
48625268,hollisternews
46702525,HBIndependent
62872266,mydesert
,ledgerdispatch
23222382,JulianNews
139825426,KingsburgRecdr
41429340,ValleySun
60694159,lajollalight
156383222,LJvillagenews
42365537,EastCountyMag
48754487,coastlinepilot
56721145,lagunabeachindy
242569275,TheMountainNews
1120177008,kvsun
20944400,lakeconews
19680385,recordbee
56833229,lincolnnm
15984596,lodinews
152060321,LompocRecord
176509198,GrunionGazette
2563644096,impacto_usa
20496846,longbeachpost
17820493,ocregister
163633469,presstelegram
383114423,RandomLengths
56831153,TheLoomisNews
25118278,latc
52126257,AsianJournalCom
624844033,weekendbalita
393557217,Jobs4Lawyers
,DiaADiaNewsLax
31072476,egpnews
17446621,thr
67457780,hoylosangeles
18513241,ibdeditorials
23102350,JewishJournal
39565067,koreatimes
17718497,LAWEEKLY
28166836,DowntownNews
41416662,LaOpinionLA
2351294292,LAWattsTimes
732902312340000768,LABJcommunity
5513142,ladailynews
25536902,thelasentinel
16664681,latimes
637388035,BeverlyPress
48823671,RafuShimpo
214333242,artwalk_news
17525171,variety
2303885136,WestsideLAToday
2293569877,MadTrib
11707792,malibunews
121600219,TheMalibuTimes
182527131,MamTimes
17200433,mantecabulletin
146137109,ArgonautNews
130570423,MartinezGazette
293792211,mendocinobeacon
52069825,AlmanacNews
186603420,MarinscopeNews
106152317,milpitaspost
8249162,modbee
13134892,MontereyHerald
19172412,mcweekly
,LamorindaWeekly
48624862,morganhilltimes
2332392240,Tolosapress
40943042,mtshastanews
116567967,mvvoice
20558644,NapaRegister
265021324,mattosnews
198566842,ocbizjournal
14239496,marinij
19185368,oakdaleleader
105311202,TheSierraStar
19315665,EastBayExpress
253692401,OaklandPostNews
33340027,OVN
36739057,ivdailybulletin 
102200948,OrovilleMR
180857239,TriCountySentry
614584781,PalisadianPost
18865814,baydailynews
18966724,paloaltoweekly
362119079,PVPeninsulaNews
38023553,paradisepost
72981376,pasindependent
2616203114,pasadenajournal
19415444,passtarnews
83234555,ePasadenaNow
908645388,pasodailynews
2424223741,pasopress
26349151,pattirrigator
18491147,PetalumaArgus
223772388,mtdemocratnews
46704239,PleasantonNews
472472477,PointReyesLight
22118487,recorderonline 
75306293,plumasnews
183422908,pomeradonews
338669725,RamonaSentinel
204581068,rsfreview
68460673,redbluffnews
97622779,breakingnews_rs
48791466,RedlandsNews
25184991,blackvoicenews
,pecom_news
56834815,theplacerherald 
49800751,Community_Voice
28262222,RRToday
75375556,cafarmbureau
23092822,sacbiz
188760481,Capitol_Weekly
69212542,SacGazette
9311472,sacobserver
14411304,sacbee_news
17926257,SacNewsReview
385641462,WSNewsLedger
25122673,sthelenastar
24776576,salnews
1329655081,Cal_Enterprise
36726529,sbsun
745124494931439616,S_C_Times
18687472,asianjournal
19777847,sdnews
24221330,sdbusiness
15920055,SDCityBeat
363222587,clairemonttimes
262790137,sddowntownnews
2696658584,lamesacourier
614854580,LaPrensaSD
743506776474025984,MiraMesaNews
2696731345,MissionVllyNews
69702585,sdreader
1188600084,VoiceViewpoint
123351802,ebarnews
18104715,sfbayview
